created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-09-01,3.11,4.7,5.22,6374,-63.09,84.08,39.78,4.31
2020-09-02,1.98,2.88,3.18,7814,-62.23,82.44,35.84,2.88
2020-09-03,1.66,2.68,3.11,9253.74,-60.98,82.16,39.06,2.52
2020-09-04,0.66,1.09,1.29,10694,-59.15,80.65,31.86,1.09
2020-09-05,2.56,3.91,4.47,12134,-57.83,82.02,31.35,3.65
2020-09-06,1.58,2.18,2.37,13574,-59.41,85.23,29.29,2.18
2020-09-07,4.66,6.13,6.55,15014,-62.69,89.94,29.61,6.03
2020-09-08,2.26,3.29,3.63,16454,-63.46,85.72,32.85,3.28
2020-09-09,1.23,1.91,2.12,17894,-65.12,82.96,29.46,1.73
2020-09-10,0.6,1.06,1.26,19334,-63.12,81.95,27.95,1
2020-09-11,2.25,3.99,4.71,20774,-61.77,81.98,30.6,3.68
2020-09-12,1.76,3.38,4.16,22214,-62.87,84.33,37.63,2.77
2020-09-13,0.59,0.92,1.03,23654,-62.12,85.41,42.47,0.92
2020-09-14,2.95,4.13,4.51,25094,-62.08,88.1,36.34,3.95
2020-09-15,3.73,4.92,5.19,26534,-65.71,89.1,36.15,4.83
2020-09-16,9.58,12.76,13.21,27974,-65.95,85.95,37.46,12.75
2020-09-17,11.73,16.99,18.21,29414,-63.91,88.18,38.94,16.87
2020-09-18,19.87,27.46,28.26,30854,-61.9,91.85,37.47,26.63
2020-09-19,17.47,25.26,26.15,32294,-60.21,93.27,37.12,22.99
2020-09-20,22.95,35.54,36.95,33734,-63.65,87.4,42.33,31.53
2020-09-21,19.23,29.14,30.32,35174,-62.91,84.56,43.46,27.52
2020-09-22,10.75,15.79,16.92,36614,-63.36,82.09,43.56,15.25
2020-09-23,4.15,5.89,6.22,38054,-61.38,83.46,44.79,5.89
2020-09-24,3.41,5.18,5.72,39494,-61.38,83.96,41.55,4.83
2020-09-25,1.11,1.76,1.98,40936.45,-61.38,84.84,39.21,1.75
2020-09-26,1.3,2.15,2.51,42374.36,-62.35,85.05,44.18,2.04
2020-09-27,0.71,1.67,2.23,43814,-61.21,84.51,35.74,1.67
2020-09-28,0.97,2.05,2.63,31585.65,-60.25,83.34,39.29,2.05
2020-09-29,1.01,2.26,2.98,660.56,-63.4,81.9,37.77,1.96
2020-09-30,1.15,1.83,2.12,1226.74,-58.48,81.53,36.3,1.83
2020-10-01,1.94,3.14,3.6,926.45,-58.6,81.99,38.13,2.93
2020-10-02,1.23,2.6,3.41,1813,-61.63,82.78,40.12,2.06
2020-10-03,2.24,3.89,4.75,3253,-61.09,82.89,34.47,3.28
2020-10-04,2.24,3.51,4.02,4692.53,-59.42,80.7,38.32,3.23
2020-10-05,1.02,1.89,2.32,6131.73,-59.15,78.95,39.83,1.65
2020-10-06,0.38,0.84,1.11,7572.24,-57.89,78.46,32.53,0.82
2020-10-07,0.92,1.5,1.73,9015.11,-57.2,78.37,30.36,1.5
2020-10-08,3.12,4.31,4.64,10449.72,-58.05,79.25,30.98,4.3
2020-10-09,4.34,6.16,6.9,11893,-58.97,79.66,31.62,6.16
2020-10-10,4.34,6.4,7.17,13333,-57.02,80.42,35.64,5.88
2020-10-11,3.21,5.68,6.64,14773.12,-57.75,82.17,39.36,4.64
2020-10-12,1.01,1.96,2.47,16210.51,-58.1,80.36,34.13,1.96
2020-10-13,1.09,2.05,2.53,17653,-57.36,80.37,31.21,1.97
2020-10-14,2.4,3.59,4,19093,-55.71,81.04,34.35,3.58
2020-10-15,2.9,4.41,4.97,20533,-56.87,81.21,37.75,4.09
2020-10-16,3.22,4.65,4.95,21973,-56.47,83.58,41.3,4.65
2020-10-17,2.99,4.74,5.38,23413,-56.55,81.75,37.69,4.47
2020-10-18,2.7,3.94,4.34,24853,-55.74,79.33,32.71,3.81
2020-10-19,1.85,2.95,3.43,26292.01,-55.55,79.64,34.11,2.74
2020-10-20,2.02,3.65,4.44,27733,-56.31,80.71,34.62,3.23
2020-10-21,2.32,3.47,3.88,29172.71,-56.73,82.54,36.31,3.46
2020-10-22,6.04,8.77,9.62,30613,-56.29,83.57,34.47,8.24
2020-10-23,11.77,16.15,16.96,32053,-56.42,85.3,36.22,15.87
2020-10-24,11.77,17.34,16.96,32053,-56.42,85.3,36.22,15.87
2020-10-25,14.88,21.58,22.51,33493,-54.13,84.16,37.7,20.21
2020-10-26,1.95,3.44,4.17,34933,-52.28,81.32,32.45,3.36
2020-10-27,0.67,1.38,1.77,36373,-53.05,80.11,30.8,1.34
2020-10-28,5.37,9.7,11.53,37813,-54.78,80.24,34.35,7.64
2020-10-29,3.66,5.03,5.53,39253,-55.21,80.88,34.91,5.03
2020-10-30,7.57,10.78,11.6,40693,-54.61,81.43,36.43,10.46
2020-10-31,12.18,17,17.77,42133,-55.9,82.94,36.48,16.99
2020-11-01,3.15,4.61,5.04,43573,-53.97,81.79,37.61,4.47
2020-11-02,2.6,4.46,5.11,45013,-53.78,78.46,33.46,3.56
2020-11-03,2.67,5.28,6.57,46453,-53.22,77.81,31.35,4.1
2020-11-04,0.07,0.24,0.35,47893,-52.4,76.33,29.5,0.24
2020-11-05,1.2,2.15,2.54,49333,-52.22,75.82,28.52,2.15
2020-11-06,2.56,3.68,4,50772.06,-51.51,73.76,29.84,3.68
2020-11-07,2.79,3.99,4.25,52213,-52.47,76.35,33.72,3.99
2020-11-08,0.49,0.91,1.1,53653,-52.38,76.48,34.03,0.91
2020-11-09,0.32,0.65,0.79,55093,-52.7,76.78,33.36,0.65
2020-11-10,1.28,1.88,2.11,56533,-52.68,76.92,35.12,1.88
2020-11-11,2.56,4.2,4.88,57973,-52.5,80.66,36.75,3.58
2020-11-12,1.29,2.51,3.11,59413.24,-54.91,79.32,36.11,2.15
2020-11-13,2.19,4.02,4.82,60853,-56.26,79.61,36.8,3.43
2020-11-14,0.79,1.59,1.96,62293,-55.69,80.15,36.69,1.45
2020-11-15,1.1,2.28,2.81,63733,-56.23,79.89,35.19,2.13
2020-11-16,1.26,2.56,3.18,65173,-56.24,80.21,35.98,2.15
2020-11-17,2.93,5.23,6.04,66613,-57.72,78.96,34.77,4.51
2020-11-18,0.1,0.27,0.38,68053,-57.18,79.31,32.61,0.27
2020-11-19,0.55,0.84,0.96,69493,-57.48,79.44,33.03,0.84
2020-11-20,3,5.07,5.93,67453.27,-58.39,79.14,35.07,4.46
2020-11-21,0.8,1.47,1.74,790,-59.81,80.92,33.09,1.42
2020-11-22,2.77,4.78,5.62,2230,-60.39,81.09,32.72,4.37
2020-11-23,3.4,5.51,6.05,3670,-58.03,80.91,31.41,4.48
2020-11-24,3.12,5.68,6.87,5110,-57.47,80.87,31.11,4.65
2020-11-25,1.54,2.32,2.57,6550,-56.85,79.67,31.69,2.32
2020-11-26,4.2,5.81,6.15,7990,-57.23,79.82,32.71,5.81
2020-11-27,4.7,7.68,8.82,9430,-57.36,80.54,33.12,6.75
2020-11-28,1.12,1.75,1.99,10870,-56.17,82,35.5,1.75
2020-11-29,4,7.14,8.57,12310,-58.05,82.07,37.79,5.65
2020-11-30,3.23,5.6,6.48,13750,-57.62,81.38,35.92,4.77
2020-12-01,1.36,2.58,3.17,15190,-57.39,80.57,34.62,2.26
2020-12-02,1.88,3.99,5.09,16630,-58.07,80.1,34.31,3.22
2020-12-03,0.31,0.67,0.91,18070,-56.61,79.2,32.75,0.67
